Handle,Title,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Image Command
silla-iso-revolution-polipropileno,Silla Iso Revolution Polipropileno,Title,Default Title,VC15,66000.0,https://vicca.cl/media/catalog/product/s/i/silla_iso_revolution_polipropileno_plastica_casino_visita_1_vicca.jpg,MERGE
silla-shell,Silla Shell,Title,Default Title,VC16,70000.0,https://vicca.cl/media/catalog/product/s/i/silla-shell-plastica-polipropileno-casino-restaurant-1-vicca.jpg,MERGE
silla-shell-trineo,Silla Shell Trineo,Title,Default Title,VC17,111000.0,https://vicca.cl/media/catalog/product/s/i/silla-shell-trineo-polipropileno-plastica-casino-restaurant-visita-1-vicca.jpg,MERGE
silla-strike,Silla Strike,Title,Default Title,VC18,71000.0,https://vicca.cl/media/catalog/product/s/i/silla-strike-polipropileno-plastica-casino-visita-restaurant-1-vicca.jpg,MERGE
butaca-hermes-organic,POLTRONA HERMES ORGANIC,Title,Default Title,VC22,105750.0,https://vicca.cl/media/catalog/product/b/u/butaca_hermes_organic_gris_2_disen_o_hogar_vicca_2.jpg,MERGE
mesa-eames,MESA EAMES,Title,Default Title,VC25,71200.0,https://vicca.cl/media/catalog/product/m/e/mesa_ayax_blanca_1_disen_o_hogar_vicca.jpg,MERGE
mesa-eileen-p-blanco,MESA EILEEN (P) BLANCO,Title,Default Title,VC29,108750.0,https://vicca.cl/media/catalog/product/m/e/mesa_eileen_p_blanco_2_disen_o_hogar_vicca_2.jpg,MERGE
mesa-elina-blanco,MESA ELINA BLANCO,Title,Default Title,VC30,223500.0,https://vicca.cl/media/catalog/product/m/e/mesa_elina_blanco_1_disen_o_hogar_vicca_2.jpg,MERGE
silla-dsw-estilo-eames-blanca,SILLA DSW EAMES BLANCA,Title,Default Title,VC37,36500.0,https://vicca.cl/media/catalog/product/s/i/silla_dsw_estilo_eames_blanca_1_disen_o_hogar_vicca_3.jpg,MERGE
silla-dsw-estilo-eames-celeste,SILLA DSW EAMES CELESTE,Title,Default Title,VC38,36500.0,https://vicca.cl/media/catalog/product/s/i/silla_dsw_estilo_eames_celeste_1_disen_o_hogar_vicca_2.jpg,MERGE
silla-dsw-estilo-eames-negra,SILLA DSW EAMES NEGRA,Title,Default Title,VC44,36500.0,https://vicca.cl/media/catalog/product/s/i/silla_dsw_estilo_eames_negra_1_disen_o_hogar_vicca_4.jpg,MERGE
silla-dsw-estilo-eames-patchwork-multicolor,SILLA EAMES PATCHWORK MULTICOLOR,Title,Default Title,VC45,99500.0,https://vicca.cl/media/catalog/product/s/i/silla_dsw_estilo_eames_patchwork_multicolor_1_tapizada_disen_o_hogar_vicca_2.jpg,MERGE
silla-dsw-estilo-eames-roja,SILLA DSW EAMES ROJA,Title,Default Title,VC46,36500.0,https://vicca.cl/media/catalog/product/s/i/silla_dsw_estilo_eames_roja_1_disen_o_hogar_vicca_2.jpg,MERGE
silla-dsw-estilo-eames-rosada,SILLA DSW EAMES ROSADA,Title,Default Title,VC47,36500.0,https://vicca.cl/media/catalog/product/s/i/silla_dsw_estilo_eames_rosada_1_disen_o_hogar_vicca_2.jpg,MERGE
silla-dsw-estilo-organic-beige,SILLA FEDRA ORGANIC BEIGE ESTILO DSW,Title,Default Title,VC49,138700.0,https://vicca.cl/media/catalog/product/s/i/silla_estilo_organic_beige_2_tapizada_disen_o_hogar_vicca_2.jpg,MERGE
silla-dsw-patchwork-multicolor,SILLA DSW PATCHWORK MULTICOLOR,Title,Default Title,VC50,66300.0,https://vicca.cl/media/catalog/product/s/i/silla_dsw_multicolor_1_disen_o_hogar_vicca.jpg,MERGE
silla-patchwork-organic-multicolor,SILLA FEDRA PATCHWORK ORGANIC MULTICOLOR,Title,Default Title,VC66,152000.0,https://vicca.cl/media/catalog/product/s/i/silla_sitial_patchwork_multicolor_1_tapizada_disen_o_hogar_vicca_2.jpg,MERGE
silla-selena-tapiz-organic,SILLA SELENA TAPIZ ORGANIC,Title,Default Title,VC80,98000.0,https://vicca.cl/media/catalog/product/s/i/silla_selena_polipropileno_dise_o_hogar_blanca_1_vicca_1.jpg,MERGE
silla-tree-blanca,SILLA TREE BLANCA,Title,Default Title,VC82,59900.0,https://vicca.cl/media/catalog/product/s/i/silla_tree_arbol_blanca_1_disen_o_hogar_vicca_2.jpg,MERGE
taburete-shell,TABURETE SHELL,Title,Default Title,VC90,122000.0,https://vicca.cl/media/catalog/product/t/a/taburete_shell_casino_bar_restaurant_plastica_1_vicca_1.jpg,MERGE
banqueta-dream-polipropileno,Banqueta Dream Polipropileno,Title,Default Title,VC04,320000.0,https://vicca.cl/media/catalog/product/d/r/dream_polipropileno_negra.jpg,MERGE
banqueta-dream-respaldo-malla,Banqueta Dream Respaldo Malla,Title,Default Title,VC05,377000.0,https://vicca.cl/media/catalog/product/w/h/whatsapp_image_2024-06-03_at_11.42.09_am.jpeg,MERGE
banqueta-dream-tapizada-completa,Banqueta Dream Tapizada Completa,Title,Default Title,VC06,348000.0,https://vicca.cl/media/catalog/product/w/h/whatsapp_image_2024-06-03_at_12.06.51_pm.jpeg,MERGE
banqueta-iso-revolution-polipropileno,Banqueta Iso Revolution Polipropileno,Title,Default Title,VC07,288000.0,https://vicca.cl/media/catalog/product/b/a/banqueta_iso_revolution_plastica_polipropileno_1_vicca.jpg,MERGE
