handle,title,tipo_actual,tipo_nuevo,accion
acc-accesorio-base-aluminio,Accesorio: Base Aluminio,Accesorio,Accesorio,sin cambio
acc-accesorio-revistero,Accesorio: Revistero,Accesorio,Extra,✅ Actualizado
acc-accesorios-apoyo-lumbar,Accesorios: Apoyo Lumbar,Accesorios,Extra,✅ Actualizado
acc-accesorios-base-nylon,Accesorios: Base nylon,Accesorios,Extra,✅ Actualizado
acc-accesorios-par-brazos-aluminio-barnizado-negro-con-pad-negro,ACCESORIOS: Par Brazos aluminio barnizado negro con Pad Negro,ACCESORIOS,Extra,✅ Actualizado
acc-accesorios-patin-negro,Accesorios: Patín Negro,Accesorios,Extra,✅ Actualizado
acc-accesorios-patines-negros-en-vez-de-ruedas,Accesorios: Patínes Negros en vez de ruedas,Accesorios,Extra,✅ Actualizado
acc-adicional-sin-rejilla,ADICIONAL: Sin rejilla,ADICIONAL,ADICIONAL,sin cambio
acc-adicional-sin-rejilla-universitaria,ADICIONAL: Sin Rejilla Universitaria,ADICIONAL,ADICIONAL,sin cambio
acc-adicionales-cabecero,Adicionales: Cabecero,Adicionales,Adicionales,sin cambio
acc-altura-alto-76-cm,ALTURA: Alto 76 cm,ALTURA,ALTURA,sin cambio
acc-altura-altura-67-cm,Altura: Altura 67 cm,Altura,Altura,sin cambio
acc-aro-apoya-pies-aro-cromado,ARO APOYA PIES: Aro Cromado,ARO APOYA PIES,ARO APOYA PIES,sin cambio
acc-aro-apoya-pies-aro-negro,Aro Apoya Pies: Aro negro,Aro Apoya Pies,Aro Apoya Pies,sin cambio
acc-aro-apoya-pies-aro-nylon-negro,Aro Apoya Pies: Aro Nylon Negro,Aro Apoya Pies,Aro Apoya Pies,sin cambio
acc-aro-aro-nylon,ARO: Aro Nylon,ARO,ARO,sin cambio
acc-asiento-tapizado-cojin-tapizado-en-tela-verona,Asiento tapizado: Cojín tapizado en tela Verona,Asiento tapizado,Color Tapiz,✅ Actualizado
acc-banqueta-color-amarillo,Banqueta Color: Amarillo,Banqueta Color,Color Respaldo,✅ Actualizado
acc-base-estrella-y-aro-apoya-pies-sin-aro,Base estrella y Aro Apoya Pies: Sin aro,Base estrella y Aro Apoya Pies,Base estrella y Aro Apoya Pies,sin cambio
acc-base-patas-patin,BASE PATAS: Patin,BASE PATAS,BASE PATAS,sin cambio
acc-base-patas-patines,Base patas: Patines,Base patas,Base patas,sin cambio
acc-base-poltrona-base-4-patas,Base Poltrona: Base 4 patas,Base Poltrona,Base Poltrona,sin cambio
acc-base-base-aluminio,Base: Base Aluminio,Base,Base,sin cambio
acc-base-base-cromada,BASE: Base Cromada,BASE,BASE,sin cambio
acc-base-base-negra,Base: Base Negra,Base,Base,sin cambio
acc-base-base-nylon,Base: Base Nylon,Base,Base,sin cambio
acc-brazo-incluir-brazo-opuesto-a-paleta,Brazo: Incluir Brazo Opuesto a Paleta,Brazo,Brazos,✅ Actualizado
acc-brazos-1-brazo-con-paleta,Brazos: 1 Brazo con Paleta,Brazos,Brazos,sin cambio
acc-brazos-brazo-regulable-2d,Brazos: Brazo Regulable 2D,Brazos,Brazos,sin cambio
acc-brazos-brazo-regulable-pp-2d,Brazos: Brazo Regulable PP 2D,Brazos,Brazos,sin cambio
acc-brazos-brazos-fijos-golf-pp,Brazos: Brazos Fijos Golf PP,Brazos,Brazos,sin cambio
acc-brazos-brazos-regulables-2d-tpu,Brazos: Brazos Regulables 2D  TPU,Brazos,Brazos,sin cambio
acc-brazos-brazos-regulables-2d-pu,Brazos: Brazos Regulables 2D PU,Brazos,Brazos,sin cambio
acc-brazos-con-brazos,Brazos: Con brazos,Brazos,Brazos,sin cambio
acc-brazos-sin-brazo,Brazos: Sin Brazo,Brazos,Brazos,sin cambio
acc-brazos-sin-brazos,Brazos: Sin Brazos,Brazos,Brazos,sin cambio
acc-cabecero-con-cabecero,CABECERO: Con cabecero,CABECERO,CABECERO,sin cambio
acc-cabecero-sin-cabecero,CABECERO: Sin cabecero,CABECERO,CABECERO,sin cambio
acc-color-asiento-indicar-segun-muestrario-ecocuero,Color Asiento Indicar Según Muestrario: Ecocuero,Color Asiento Indicar Según Muestrario,Color Tapiz,✅ Actualizado
acc-color-asiento-segun-muestrario-tela-escocia-azul-arrecife,Color Asiento Según Muestrario: Tela Escocia Azul Arrecife,Color Asiento Según Muestrario,Color Tapiz,✅ Actualizado
acc-color-asiento-y-respaldo-segun-muestrario-ecocuero-verde-pistacho,Color Asiento y Respaldo Según Muestrario: Ecocuero Verde Pistacho,Color Asiento y Respaldo Según Muestrario,Color Tapiz,✅ Actualizado
acc-color-asiento-y-respaldo-azul,Color Asiento y Respaldo: Azul,Color Asiento y Respaldo,Color Respaldo,✅ Actualizado
acc-color-asiento-alumino-mt,Color Asiento: Alumino MT,Color Asiento,Color Asiento,sin cambio
acc-color-asiento-blanco,COLOR ASIENTO: Blanco,COLOR ASIENTO,Color Respaldo,✅ Actualizado
acc-color-cubierta-escritorio-ver-muestrario-alumnia,Color Cubierta Escritorio (Ver Muestrario): Alumnia,Color Cubierta Escritorio (Ver Muestrario),Color Cubierta Escritorio (Ver Muestrario),sin cambio
acc-color-cubierta-escritorio-ver-muestrario-cerezo-agreste,Color Cubierta Escritorio (Ver Muestrario): Cerezo Agreste,Color Cubierta Escritorio (Ver Muestrario),Color Cubierta Escritorio (Ver Muestrario),sin cambio
acc-color-cubierta-escritorio-ver-muestrario-vainilla,Color Cubierta Escritorio (Ver Muestrario): Vainilla,Color Cubierta Escritorio (Ver Muestrario),Color Cubierta Escritorio (Ver Muestrario),sin cambio
acc-color-cubierta-cubierta-blanca,color cubierta: Cubierta Blanca,color cubierta,color cubierta,sin cambio
acc-color-cubierta-negro,Color CUBIERTA: Negro,Color CUBIERTA,Color CUBIERTA,sin cambio
acc-color-de-asiento-en-polipropileno-arena,Color de Asiento en Polipropileno: Arena,Color de Asiento en Polipropileno,Color de Asiento en Polipropileno,sin cambio
acc-color-de-respaldo-en-polipropileno-arena,Color de Respaldo en Polipropileno: Arena,Color de Respaldo en Polipropileno,Color de Respaldo en Polipropileno,sin cambio
acc-color-estructura-metalica-blanco,Color Estructura Metálica: Blanco,Color Estructura Metálica,Color Respaldo,✅ Actualizado
acc-color-estructura-metalica-blanco-mt,Color Estructura Metálica: Blanco MT,Color Estructura Metálica,Color Respaldo,✅ Actualizado
acc-color-laminado-vainilla,Color Laminado: Vainilla,Color Laminado,Color Laminado,sin cambio
acc-color-pata-gris,Color Pata: Gris,Color Pata,Color Respaldo,✅ Actualizado
acc-color-patas-gris-oscuro,Color Patas: Gris Oscuro,Color Patas,Color Respaldo,✅ Actualizado
acc-color-patas-pata-cromada,Color Patas: Pata Cromada,Color Patas,Patas,✅ Actualizado
acc-color-patas-patas-cromadas,Color Patas: Patas cromadas,Color Patas,Color Patas,sin cambio
acc-color-pedestal-metalico-blanco-mt,Color Pedestal  Metálico: Blanco MT,Color Pedestal Metálico,Color Respaldo,✅ Actualizado
acc-color-plastico-externo-blanco,Color Plástico Externo: Blanco,Color Plástico Externo,Color Respaldo,✅ Actualizado
acc-color-plastico-respaldo-blanco,Color Plástico Respaldo: Blanco,Color Plástico Respaldo,Color Respaldo,✅ Actualizado
acc-color-plastico-azul,Color Plastico: Azul,Color Plastico,Color Respaldo,✅ Actualizado
acc-color-plasticos-amarillo,Color Plásticos: Amarillo,Color Plásticos,Color Respaldo,✅ Actualizado
acc-color-plasticos-verde,Color Plásticos: Verde,Color Plásticos,Color Respaldo,✅ Actualizado
acc-color-polipropileno-arena,Color Polipropileno: Arena,Color Polipropileno,Color Polipropileno,sin cambio
acc-color-polipropileno-azul,Color Polipropileno: Azul,Color Polipropileno,Color Respaldo,✅ Actualizado
acc-color-polipropileno-blanco,Color Polipropileno: Blanco,Color Polipropileno,Color Respaldo,✅ Actualizado
acc-color-polipropileno-gris,Color Polipropileno: Gris,Color Polipropileno,Color Respaldo,✅ Actualizado
acc-color-polipropileno-negro,Color Polipropileno: Negro,Color Polipropileno,Color Polipropileno,sin cambio
acc-color-respaldo-malla-azul,Color Respaldo Malla: Azul,Color Respaldo Malla,Color Respaldo,✅ Actualizado
acc-color-respaldo-plastico-celeste,Color Respaldo plástico: Celeste,Color Respaldo plástico,Color Respaldo plástico,sin cambio
acc-color-respaldo-polipropileno-azul,Color Respaldo Polipropileno: Azul,Color Respaldo Polipropileno,Color Respaldo,✅ Actualizado
acc-color-respaldo-polipropileno-gris,Color Respaldo Polipropileno: Gris,Color Respaldo Polipropileno,Color Respaldo,✅ Actualizado
acc-color-respaldo-blanco,Color Respaldo: Blanco,Color Respaldo,Color Respaldo,sin cambio
acc-color-respaldo-negro,Color Respaldo: Negro,Color Respaldo,Color Respaldo,sin cambio
acc-color-segun-muestrario-ecocuero-verde-pistacho,Color Según Muestrario: Ecocuero Verde Pistacho,Color Según Muestrario,Color Tapiz,✅ Actualizado
acc-color-tapiz-asiento-y-respaldo-ecocuero-azul-electrico,Color Tapiz Asiento y Respaldo: Ecocuero Azul Eléctrico,Color Tapiz Asiento y Respaldo,Color Tapiz,✅ Actualizado
