handle,magento_title,magento_price,shopify_title,shopify_price,shopify_status,shopify_has_image,estado
banqueta-iso-plastica,Banqueta Iso  Tapizada ,154000.0,Banqueta Iso Plastica,120000.0,active,True,Precio diferente (Magento: 154000.0 | Shopify: 120000.0)
silla-logan-respaldo-polipropileno-asiento-tapizado,Silla Logan Universitaria Respaldo Polipropileno Asiento Tapizado,195000.0,Silla Logan Respaldo Polipropileno Asiento Tapizado,99000.0,active,True,Precio diferente (Magento: 195000.0 | Shopify: 99000.0)
silla-blaze,Silla Blaze Tapizada,222000.0,Silla Blaze,203000.0,active,True,Precio diferente (Magento: 222000.0 | Shopify: 203000.0)
reposera-omega-grafito,Reposera Omega Grafito,278800.0,Reposera Omega Grafito,278800.0,active,False,Sin imagen
banqueta-alice-mixta-pata-splitz,Banqueta Alice Mixta,185000.0,Banqueta Alice Mixta,185000.0,active,False,Sin imagen
banqueta-alice-tapizada,Banqueta Alice Tapizada,212000.0,Banqueta Alice Tapizada,212000.0,active,False,Sin imagen
silla-shell-tapizada-completa,Silla Shell Tapizada,115000.0,Silla Shell Tapizada,115000.0,active,False,Sin imagen
silla-delta-polipropilenp-plastico,Silla Delta Polipropileno,120000.0,Silla Delta Polipropileno,120000.0,active,False,Sin imagen
silla-delta-asiento-tapizado-respaldo-polipropileno,Silla Delta Asiento Tapizado,130000.0,Silla Delta Asiento Tapizado,130000.0,active,False,Sin imagen
poltrona-fire,Poltrona Fire,448500.0,Poltrona Fire,448500.0,active,False,Sin imagen
escritorio-mapi-smart-electrico-ajustable-altura,Escritorio Mapi Smart Eléctrico,700000.0,Escritorio Mapi Smart Eléctrico,700000.0,active,False,Sin imagen
silla-crono,Silla Crono Media Tapizada ,707000.0,Silla Crono Media Tapizada,707000.0,active,False,Sin imagen
cajonera-metalica-nex-2-cajones-1-kardex-movil,Cajonera Metálica Nex 2C1K,133100.0,Cajonera Metálica Nex 2C1K,133100.0,active,False,Sin imagen
cajonera-metalica-mob-1-cajon-1-kardex-movil,Cajonera Metálica Mob 1C1K,188800.0,Cajonera Metálica Mob 1C1K,188800.0,active,False,Sin imagen
estacion-trabajo-grupal-para-2-personas-corchete-abierto,Estacion Trabajo Grupal 2 Personas,633000.0,Estacion Trabajo Grupal 2 Personas,633000.0,active,False,Sin imagen
estacion-trabajo-grupal-para-4-personas-corchete-abierto,Estacion Trabajo Grupal 4 Personas,1265000.0,Estacion Trabajo Grupal 4 Personas,1265000.0,active,False,Sin imagen
estacion-trabajo-grupal-para-4-personas-corchete-cerrado,Estacion Trabajo Grupal 4 Personas Corchete Cerrado,1315000.0,Estacion Trabajo Grupal 4 Personas Corchete Cerrado,1315000.0,active,False,Sin imagen
silla-r6,Silla R6,126600.0,Silla R6,126600.0,active,False,Sin imagen
pouf-momo,Pouf Momo,187000.0,Pouf Momo,187000.0,active,False,Sin imagen
silla-logan-giratoria-malla,Silla Logan Giratoria Malla,177000.0,Silla Logan Giratoria Malla,177000.0,active,False,Sin imagen
sofa-alfa,Sofa Alfa,424000.0,Sofa Alfa,424000.0,active,False,Sin imagen
silla-matte,Silla Matte,206000.0,Silla Matte,206000.0,active,False,Sin imagen
silla-gala,Silla Gala,184400.0,Silla Gala,184400.0,active,False,Sin imagen
silla-universitaria-iso-smart-italiana-mixta,Silla Universitaria Spring Mixta,82770.0,Silla Universitaria Spring Mixta,82770.0,active,False,Sin imagen
banqueta-cosmos-pata-luna-cromada,Banqueta Cosmos Pata Luna Cromada,161000.0,Banqueta Cosmos Pata Luna Cromada,161000.0,active,False,Sin imagen
sofa-donnato,Sofá Donnato,215100.0,Sofá Donnato,215100.0,active,False,Sin imagen
taburete-bakhita,Taburete Bakhita,166000.0,Taburete Bakhita,166000.0,active,False,Sin imagen
silla-prisma,Silla Prisma,55000.0,Silla Prisma,55000.0,active,False,Sin imagen
silla-urban-trineo,Silla Urban Trineo,133000.0,Silla Urban Trineo,133000.0,active,False,Sin imagen
silla-cp,Silla CP,854700.0,Silla CP,854700.0,active,False,Sin imagen
silla-ergohuman-malla,Silla Ergohuman Elite Malla,620000.0,Silla Ergohuman Elite Malla,620000.0,active,False,Sin imagen
silla-master,Silla Master,255000.0,Silla Master,255000.0,active,False,Sin imagen
silla-sabrina-standar,Silla Sabrina Standar,666600.0,Silla Sabrina Standar,666600.0,active,False,Sin imagen
silla-drop-syncro,Silla Drop Alta Syncro,174000.0,Silla Drop Alta Syncro,174000.0,active,False,Sin imagen
silla-selena-blanca,Silla Selena polipropileno,88000.0,Silla Selena polipropileno,88000.0,active,False,Sin imagen
silla-line-alta,Silla Line Alto,236000.0,Silla Line Alto,236000.0,active,False,Sin imagen
silla-bishop-alta-blanca,Silla Bishop Alta Blanca,144000.0,Silla Bishop Alta Blanca,144000.0,active,False,Sin imagen
silla-bishop-alta-negra,Silla Bishop Alta Negra,144000.0,Silla Bishop Alta Negra,144000.0,active,False,Sin imagen
silla-carson-baja-negra,Silla Carson Baja Negra,128000.0,Silla Carson Baja Negra,128000.0,active,False,Sin imagen
silla-carson-baja-gris,Silla Carson Baja Gris,128000.0,Silla Carson Baja Gris,128000.0,active,False,Sin imagen
silla-bishop-baja-cafe,Silla Bishop Baja Cafe,144000.0,Silla Bishop Baja Cafe,144000.0,active,False,Sin imagen
silla-bishop-baja-gris,Silla Bishop Baja Gris,144000.0,Silla Bishop Baja Gris,144000.0,active,False,Sin imagen
taburete-nest-blanco,Taburete Nest Blanco,99000.0,Taburete Nest Blanco,99000.0,active,False,Sin imagen
silla-priamo-alta-negra,Silla Priamo Alta Negra,179900.0,Silla Priamo Alta Negra,179900.0,active,False,Sin imagen
silla-cuba,Silla Cuba Negra Br fijo,81000.0,Silla Cuba Negra Br fijo,81000.0,active,False,Sin imagen
silla-alia-tapizada-alta,Silla Alia  ALta Tapizada ,1270000.0,Silla Alia  ALta Tapizada,1270000.0,active,False,Sin imagen
silla-alia-alta,Silla Alia Alta Malla ,1199000.0,Silla Alia Alta Malla,1199000.0,active,False,Sin imagen
silla-q3-gris,Silla Q3 Gris,199000.0,Silla Q3 Gris,199000.0,active,False,Sin imagen
silla-work-up,Silla Work Up,165200.0,Silla Work Up,165200.0,active,False,Sin imagen
silla-contessa-seconda,Silla Contessa Seconda ,1440000.0,Silla Contessa Seconda,1440000.0,active,False,Sin imagen
silla-bora-tortora-nardi,Silla Bora Tortora Nardi,88800.0,Silla Bora Tortora Nardi,88800.0,active,False,Sin imagen
silla-pinko-respaldo-malla,Silla Pinko Respaldo Malla,122000.0,Silla Pinko Respaldo Malla,122000.0,active,False,Sin imagen
poltrona-monet-trineo-petroleo,Poltrona Monet Trineo Petroleo,329900.0,Poltrona Monet Trineo Petroleo,329900.0,active,False,Sin imagen
silla-y10-media-cajero-ecocuero,Silla Y10 Media Cajero,150000.0,Silla Y10 Media Cajero,150000.0,active,False,Sin imagen
silla-nina,Silla Nina,230000.0,Silla Nina,230000.0,active,False,Sin imagen
silla-bakhita-colores,Silla Bakhita ,122100.0,Silla Bakhita,122100.0,active,False,Sin imagen
silla-torhu,Silla Torhu,137000.0,Silla Torhu,137000.0,active,False,Sin imagen
