Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Status
acc--patas-cromadas,nan: Patas Cromadas,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATAS-CROMADAS,13000.0,shopify,9999,deny,active
acc--brazos-plásticos-negros-con-pad-negro-revolution-20-21,nan: Brazos plásticos negros con Pad negro (Revolution 20-21),Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-PLÁSTICOS-NEGROS-CON-PAD-NEGRO-REVOLUTION-20-21,26000.0,shopify,9999,deny,active
acc--diametro-100-cm,nan: Diametro 100 CM,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-DIAMETRO-100-CM,25000.0,shopify,9999,deny,active
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,101000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,202000.0,shopify,9999,deny,active
acc--5,nan: 5,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5,320000.0,shopify,9999,deny,active
acc--3-cuerpos,nan: 3 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3-CUERPOS,138000.0,shopify,9999,deny,active
acc--4-cuerpos,nan: 4 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4-CUERPOS,280000.0,shopify,9999,deny,active
acc--5-cuerpos,nan: 5 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5-CUERPOS,422000.0,shopify,9999,deny,active
acc-accesorio-revistero,Accesorio: Revistero,Accesorio opcional de tipo Accesorio proveniente de Magento.,Magento Import,Accesorio,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-REVISTERO,47000.0,shopify,9999,deny,active
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,116000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,240000.0,shopify,9999,deny,active
acc--5,nan: 5,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5,380000.0,shopify,9999,deny,active
acc--3-cuerpos,nan: 3 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3-CUERPOS,77000.0,shopify,9999,deny,active
acc--4-cuerpos,nan: 4 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4-CUERPOS,155000.0,shopify,9999,deny,active
acc--5-cuerpos,nan: 5 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5-CUERPOS,240000.0,shopify,9999,deny,active
acc--3-cuerpos,nan: 3 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3-CUERPOS,90000.0,shopify,9999,deny,active
acc--4-cuerpos,nan: 4 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4-CUERPOS,195000.0,shopify,9999,deny,active
acc--5-cuerpos,nan: 5 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5-CUERPOS,303000.0,shopify,9999,deny,active
acc-accesorios-par-brazos-aluminio-barnizado-negro-con-pad-negro,ACCESORIOS: Par Brazos aluminio barnizado negro con Pad Negro ,Accesorio opcional de tipo ACCESORIOS proveniente de Magento.,Magento Import,ACCESORIOS,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PAR-BRAZOS-ALUMINIO-BARNIZADO-NEGRO-CON-PAD-NEGRO,54000.0,shopify,9999,deny,active
acc--par-brazos-aluminio-pulido-pad-negro,nan: Par Brazos aluminio pulido Pad Negro,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PAR-BRAZOS-ALUMINIO-PULIDO-PAD-NEGRO,72000.0,shopify,9999,deny,active
acc--par-brazos-aluminio-pulido-pad-blanco,nan: Par Brazos aluminio pulido Pad blanco,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PAR-BRAZOS-ALUMINIO-PULIDO-PAD-BLANCO,93000.0,shopify,9999,deny,active
acc--revistero,nan: Revistero,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-REVISTERO,47000.0,shopify,9999,deny,active
acc--3-cuerpos,nan: 3 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3-CUERPOS,88000.0,shopify,9999,deny,active
acc--4-cuerpos,nan: 4 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4-CUERPOS,185000.0,shopify,9999,deny,active
acc--5-cuerpos,nan: 5 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5-CUERPOS,300000.0,shopify,9999,deny,active
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,38000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,95000.0,shopify,9999,deny,active
acc--5,nan: 5,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5,182000.0,shopify,9999,deny,active
acc--pata-luna-cromada,nan: Pata Luna Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATA-LUNA-CROMADA,34000.0,shopify,9999,deny,active
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,66000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,99000.0,shopify,9999,deny,active
acc-tapiz-lavable-ecoclean-nordic-2-cuerpos,Tapiz Lavable Ecoclean: Nordic 2 Cuerpos,Accesorio opcional de tipo Tapiz Lavable Ecoclean proveniente de Magento.,Magento Import,Tapiz Lavable Ecoclean,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-NORDIC-2-CUERPOS,40000.0,shopify,9999,deny,active
acc--nordic-3-cuerpos,nan: Nordic 3 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-NORDIC-3-CUERPOS,60000.0,shopify,9999,deny,active
acc--nordic-4-cuerpos,nan: Nordic 4 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-NORDIC-4-CUERPOS,80000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,211000.0,shopify,9999,deny,active
acc--5,nan: 5,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5,327000.0,shopify,9999,deny,active
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,111000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,232000.0,shopify,9999,deny,active
acc--5,nan: 5,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5,360000.0,shopify,9999,deny,active
