Handle,Metafield: custom.accessories [list.product_reference]
silla-iso-revolution-polipropileno,"[""acc--patas-cromadas"", ""acc--brazos-plasticos-negros-con-pad-negro-revolution-20-21""]"
mesa-eames,"[""acc--diametro-100-cm""]"
banqueta-dream-polipropileno,"[""acc--3"", ""acc--4"", ""acc--5""]"
banqueta-dream-respaldo-malla,"[""acc--3-cuerpos"", ""acc--4-cuerpos"", ""acc--5-cuerpos"", ""acc-accesorio-revistero""]"
banqueta-dream-tapizada-completa,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc-accesorio-revistero""]"
banqueta-iso-revolution-polipropileno,"[""acc--3-cuerpos"", ""acc--4-cuerpos"", ""acc--5-cuerpos""]"
banqueta-iso-revolution-respaldo-polipropileno-asiento-tapizado,"[""acc--3-cuerpos"", ""acc--4-cuerpos"", ""acc--5-cuerpos"", ""acc-accesorios-par-brazos-aluminio-barnizado-negro-con-pad-negro"", ""acc--par-brazos-aluminio-pulido-pad-negro"", ""acc--par-brazos-aluminio-pulido-pad-blanco"", ""acc--revistero""]"
banqueta-iso-revolution-tapizada,"[""acc--3-cuerpos"", ""acc--4-cuerpos"", ""acc--5-cuerpos"", ""acc-accesorio-revistero""]"
banqueta-iso-smart-plastica-italiana,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc--pata-luna-cromada""]"
banqueta-isonet,"[""acc--3"", ""acc--4"", ""acc-tapiz-lavable-ecoclean-nordic-2-cuerpos"", ""acc--nordic-3-cuerpos"", ""acc--nordic-4-cuerpos""]"
banqueta-kyos-tapizada-completa,"[""acc--3"", ""acc--4"", ""acc--5""]"
banqueta-kyos-asiento-tapizada,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc-accesorio-revistero""]"
banqueta-kyos-polipropileno,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc-accesorio-revistero""]"
banqueta-layer,"[""acc--3"", ""acc--4""]"
banqueta-shell-pla-stica,"[""acc--3"", ""acc--4"", ""acc--5""]"
banqueta-shell-tapizada,"[""acc--3-cuerpos"", ""acc--4-cuerpos"", ""acc--5-cuerpos""]"
butaca-florencia,"[""acc--3-cuerpos""]"
silla-bologna-cajero,"[""acc-accesorios-patines-negros-en-vez-de-ruedas"", ""acc--ruedas-desmopan"", ""acc--aro-cromado"", ""acc--brazos-regulables""]"
silla-prisma-cajero,"[""acc--aro-cromado"", ""acc--nordic""]"
