Handle,Metafield: custom.accessories [list.product_reference]
silla-iso-revolution-polipropileno,"[""acc--patas-cromadas"", ""acc--brazos-pl\u00e1sticos-negros-con-pad-negro-revolution-20-21""]"
mesa-eames,"[""acc--diametro-100-cm""]"
banqueta-dream-polipropileno,"[""acc--3"", ""acc--5"", ""acc--4""]"
banqueta-dream-respaldo-malla,"[""acc--5-cuerpos"", ""acc-accesorio-revistero"", ""acc--4-cuerpos"", ""acc--3-cuerpos""]"
banqueta-dream-tapizada-completa,"[""acc--3"", ""acc-accesorio-revistero"", ""acc--5"", ""acc--4""]"
banqueta-iso-revolution-polipropileno,"[""acc--5-cuerpos"", ""acc--4-cuerpos"", ""acc--3-cuerpos""]"
banqueta-iso-revolution-respaldo-polipropileno-asiento-tapizado,"[""acc--5-cuerpos"", ""acc--3-cuerpos"", ""acc--par-brazos-aluminio-pulido-pad-blanco"", ""acc--par-brazos-aluminio-pulido-pad-negro"", ""acc--4-cuerpos"", ""acc-accesorios-par-brazos-aluminio-barnizado-negro-con-pad-negro"", ""acc--revistero""]"
banqueta-iso-revolution-tapizada,"[""acc--5-cuerpos"", ""acc-accesorio-revistero"", ""acc--4-cuerpos"", ""acc--3-cuerpos""]"
banqueta-iso-smart-plastica-italiana,"[""acc--3"", ""acc--5"", ""acc--4"", ""acc--pata-luna-cromada""]"
banqueta-isonet,"[""acc-tapiz-lavable-ecoclean-nordic-2-cuerpos"", ""acc--4"", ""acc--nordic-4-cuerpos"", ""acc--nordic-3-cuerpos"", ""acc--3""]"
banqueta-kyos-tapizada-completa,"[""acc--3"", ""acc--5"", ""acc--4""]"
banqueta-kyos-asiento-tapizada,"[""acc--3"", ""acc-accesorio-revistero"", ""acc--5"", ""acc--4""]"
banqueta-kyos-polipropileno,"[""acc--3"", ""acc-accesorio-revistero"", ""acc--5"", ""acc--4""]"
banqueta-layer,"[""acc--3"", ""acc--4""]"
banqueta-shell-pla-stica,"[""acc--3"", ""acc--5"", ""acc--4""]"
banqueta-shell-tapizada,"[""acc--5-cuerpos"", ""acc--4-cuerpos"", ""acc--3-cuerpos""]"
butaca-florencia,"[""acc--3-cuerpos""]"
silla-bologna-cajero,"[""acc--aro-cromado"", ""acc--ruedas-desmop\u00e1n"", ""acc-accesorios-pat\u00ednes-negros-en-vez-de-ruedas"", ""acc--brazos-regulables""]"
silla-prisma-cajero,"[""acc--aro-cromado"", ""acc--nordic""]"
silla-rudy-media-cajero,"[""acc--brazos-fijo-pp"", ""acc--nordic"", ""acc-opcional-aro-cromado"", ""acc--ruedas-desmopan-50mm-para-piso-flotante"", ""acc--brazos-regulables-fritz-en-pp""]"
silla-torino-1-cajero,"[""acc--aro-cromado"", ""acc-accesorios-pat\u00edn-negro"", ""acc--brazo-regulable""]"
silla-torino-cajero-media,"[""acc--brazos-regulables-2d-pu"", ""acc--aro-cromado"", ""acc--nordic"", ""acc-opcional-ruedas-desmopan-50mm"", ""acc--brazos-fijos-golf-pp"", ""acc--brazos-regulables-fritz-en-pp""]"
silla-universitaria-dream-respaldo-malla,"[""acc--pata-cromada""]"
silla-universitaria-iso-revolution,"[""acc-brazo-incluir-brazo-opuesto-a-paleta"", ""acc--pata-cromada""]"
silla-universitaria-kyos,"[""acc--patas-trineo-cromado"", ""acc--pata-color-gris"", ""acc--pata-cromada""]"
silla-universitaria-prisma,"[""acc--nordic""]"
sofa-di-loria,"[""acc--3-cuerpo"", ""acc--2-cuerpo""]"
sofa-duccio,"[""acc--3-cuerpo"", ""acc--ecoclean-lavable-antimancha-para-3-cuerpos"", ""acc--ecoclean-lavable-antimancha-para-2-cuerpos"", ""acc--2-cuerpo"", ""acc-tapiz-ecoclean-lavable-antimancha-para-1-cuerpo""]"
sofa-prada,"[""acc--2-cuerpos"", ""acc--3-cuerpos""]"
silla-iso-smart-italiana-polipropileno,"[""acc--estructura-cromada"", ""acc--par-de-brazos-iso"", ""acc--estructura-gris""]"
silla-kyos-polipropileno,"[""acc--patas-cromadas"", ""acc--par-de-brazos"", ""acc--estructura-trineo-cromado""]"
silla-nova-iso-italiana,"[""acc--estructura-cromada"", ""acc--par-brazos-iso"", ""acc--estructura-gris""]"
silla-leep-loop,"[""acc--base-aluminio"", ""acc-opcional-cabecero"", ""acc--base-cromada""]"
silla-black,"[""acc--base-aluminio"", ""acc-opcional-cabecero"", ""acc--base-cromada""]"
silla-boss,"[""acc-opcional-cabecero"", ""acc--base-cromada""]"
silla-flash-tapizada-syncro,"[""acc--base-aluminio"", ""acc--brazo-regulable"", ""acc--base-cromada""]"
silla-identity-isa,"[""acc--base-aluminio"", ""acc-opcional-cabecero"", ""acc--base-cromada-600""]"
silla-join-blanca,"[""acc--ruedas-desmopan-para-piso-flotante"", ""acc--desplazador-de-asiento-en-profundidad"", ""acc-accesorio-base-aluminio""]"
silla-join-negra,"[""acc--base-aluminio"", ""acc--brazos-regulables-3d-pu"", ""acc--eco-clean"", ""acc-opcional-ruedas-desmopan-para-piso-flotante"", ""acc--desplazador-de-asiento"", ""acc--cabecero""]"
silla-q3,"[""acc--base-aluminio"", ""acc--c-soft"", ""acc--ruedas-desmopan-50mm-para-piso-flotante"", ""acc--brazo-regulable-3d-pu"", ""acc-opcional-mecanismo-4-posiciones-de-bloqueo"", ""acc--desplazador-de-asiento"", ""acc--cabecero""]"
silla-y10-alta,"[""acc--c-soft"", ""acc--ruedas-desmopan-goma-65mm-para-piso-flotante"", ""acc-opcionales-mecanismo-con-4-posiciones-de-bloqueo"", ""acc--brazos-regulables-en-3d-pu"", ""acc-patas-base-aluminio"", ""acc--desplazador-de-asiento"", ""acc--cabecero""]"
silla-y10-media,"[""acc--ruedas-desmop\u00e1n-50-mm-para-piso-flotante"", ""acc--c-soft"", ""acc--mecanismo-con-4-posiciones-de-bloqueo"", ""acc--base-cromada"", ""acc-opcional-desplazador-de-asiento"", ""acc--brazo-regulable-en-pp"", ""acc--brazo-regulable-2d""]"
